16/05/2023 20:51:40 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 20:54:11 id =9, name = Молодая картошка, amount = 5, odds = 44% был выбран для розыгрыша
16/05/2023 20:54:11 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =4, name = Ворона желтая, amount = 70, odds = 33% был выбран для розыгрыша
16/05/2023 20:54:11 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был выбран для розыгрыша
16/05/2023 20:54:11 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 20:54:11 id =4, name = Ворона желтая, amount = 70, odds = 33% был выбран для розыгрыша
16/05/2023 20:54:11 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 20:55:22 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 20:55:22 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 20:55:22 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 20:55:22 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 20:55:22 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 20:55:22 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 20:55:22 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 20:55:22 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 20:55:22 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 20:55:22 id =3, name = Собака танцующая, amount = 40, odds = 30% был выбран для розыгрыша
16/05/2023 20:55:22 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =1, name = Мягкая морковь, amount = 30, odds = 60% был выбран для розыгрыша
16/05/2023 20:55:22 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =8, name = Кукла трудовик, amount = 10, odds = 12% был выбран для розыгрыша
16/05/2023 20:55:22 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был выбран для розыгрыша
16/05/2023 20:55:22 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =5, name = Кукла строитель, amount = 50, odds = 27% был выбран для розыгрыша
16/05/2023 20:55:22 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =3, name = Собака танцующая, amount = 40, odds = 30% был выбран для розыгрыша
16/05/2023 20:55:22 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =9, name = Молодая картошка, amount = 5, odds = 44% был выбран для розыгрыша
16/05/2023 20:55:22 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =8, name = Кукла трудовик, amount = 10, odds = 12% был выбран для розыгрыша
16/05/2023 20:55:22 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =9, name = Молодая картошка, amount = 5, odds = 44% был выбран для розыгрыша
16/05/2023 20:55:22 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 20:55:22 id =3, name = Собака танцующая, amount = 40, odds = 30% был выбран для розыгрыша
16/05/2023 20:55:22 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 21:02:42 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 21:02:42 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 21:02:42 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 21:02:42 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 21:02:42 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 21:02:42 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 21:02:42 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 21:02:42 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 21:02:42 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 21:02:42 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был выбран для розыгрыша
16/05/2023 21:02:42 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =3, name = Собака танцующая, amount = 40, odds = 30% был выбран для розыгрыша
16/05/2023 21:02:42 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =7, name = Тучка веселая, amount = 60, odds = 70% был выбран для розыгрыша
16/05/2023 21:02:42 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был выбран для розыгрыша
16/05/2023 21:02:42 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был выбран для розыгрыша
16/05/2023 21:02:42 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =8, name = Кукла трудовик, amount = 10, odds = 12% был выбран для розыгрыша
16/05/2023 21:02:42 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =8, name = Кукла трудовик, amount = 10, odds = 12% был выбран для розыгрыша
16/05/2023 21:02:42 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =9, name = Молодая картошка, amount = 5, odds = 44% был выбран для розыгрыша
16/05/2023 21:02:42 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =7, name = Тучка веселая, amount = 60, odds = 70% был выбран для розыгрыша
16/05/2023 21:02:42 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 21:02:42 id =4, name = Ворона желтая, amount = 70, odds = 33% был выбран для розыгрыша
16/05/2023 21:02:42 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.

16/05/2023 21:04:05 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 21:04:05 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 21:04:05 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 21:04:05 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 21:04:05 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 21:04:05 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 21:04:05 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 21:04:05 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 21:04:05 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 21:04:05 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 21:04:05 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:05 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:09 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:11 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:11 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:12 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:12 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в очередь на розыгрыш.
16/05/2023 21:04:33 id =7, name = Тучка веселая, amount = 60, odds = 70% был разыгран.
16/05/2023 21:04:34 id =1, name = Мягкая морковь, amount = 30, odds = 60% был разыгран.
16/05/2023 21:04:35 id =1, name = Мягкая морковь, amount = 29, odds = 60% был разыгран.
16/05/2023 21:04:36 id =6, name = Семена бобов, amount = 70, odds = 50% был разыгран.
16/05/2023 21:05:19 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 21:05:20 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 21:05:20 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 21:05:20 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 21:05:20 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 21:05:20 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 21:05:20 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 21:05:20 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 21:05:20 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 21:05:20 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 21:05:20 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:20 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:21 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:22 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:05:23 id =7, name = Тучка веселая, amount = 60, odds = 70% был разыгран.
16/05/2023 21:05:26 id =1, name = Мягкая морковь, amount = 30, odds = 60% был разыгран.
16/05/2023 21:05:27 id =1, name = Мягкая морковь, amount = 29, odds = 60% был разыгран.
16/05/2023 21:05:28 id =1, name = Мягкая морковь, amount = 28, odds = 60% был разыгран.
16/05/2023 21:06:00 id =9, name = Молодая картошка, amount = 5, odds = 44% был разыгран.
16/05/2023 21:06:05 id =4, name = Ворона желтая, amount = 70, odds = 33% был разыгран.
16/05/2023 21:06:09 id =3, name = Собака танцующая, amount = 40, odds = 30% был разыгран.
16/05/2023 21:07:02 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 21:07:02 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 21:07:02 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 21:07:02 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 21:07:02 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 21:07:02 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 21:07:02 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 21:07:02 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 21:07:02 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 21:07:02 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 21:07:02 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:02 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 21:07:13 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 21:07:13 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 21:07:13 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 21:07:13 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 21:07:13 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 21:07:13 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 21:07:13 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 21:07:13 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 21:07:13 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 21:07:13 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:13 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =1, name = Мягкая морковь, amount = 30, odds = 60% был добавлен в магазин.
16/05/2023 21:07:46 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в магазин.
16/05/2023 21:07:46 id =3, name = Собака танцующая, amount = 40, odds = 30% был добавлен в магазин.
16/05/2023 21:07:46 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в магазин.
16/05/2023 21:07:46 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в магазин.
16/05/2023 21:07:46 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в магазин.
16/05/2023 21:07:46 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в магазин.
16/05/2023 21:07:46 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в магазин.
16/05/2023 21:07:46 id =9, name = Молодая картошка, amount = 5, odds = 44% был добавлен в магазин.
16/05/2023 21:07:46 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в магазин.
16/05/2023 21:07:46 id =5, name = Кукла строитель, amount = 50, odds = 27% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =10, name = Набор инструментов для ремонта самосвала, amount = 55, odds = 29% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =8, name = Кукла трудовик, amount = 10, odds = 12% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =7, name = Тучка веселая, amount = 60, odds = 70% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =6, name = Семена бобов, amount = 70, odds = 50% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =2, name = Погремушка, amount = 45, odds = 20% был добавлен в очередь на розыгрыш.
16/05/2023 21:07:46 id =4, name = Ворона желтая, amount = 70, odds = 33% был добавлен в очередь на розыгрыш.
